id,name,description,website_url,source_url,additional_sources,is_core_early_stage_case,source_type,source_quality,founded_year,failed_year,country,region,category,customer_type,business_model,pricing_model,gtm_channel,stage_at_failure,funding_raised_usd,team_size,stated_failure_cause,primary_failure_cause,secondary_failure_causes,symptoms,evidence_summary,confidence_score,notes
fs_0011,Tutorspree,"An online marketplace for matching students and parents with local tutors.",unknown,https://www.sunsethq.com/blog/why-did-tutorspree-fail,https://www.failory.com/cemetery/tutorspree; https://startups.rip/company/tutorspree,yes,news_article,secondary,2010,2013,United States,North America,marketplace,B2C,marketplace_take_rate,commission,SEO,seed,1800000,unknown,"Available analyses based on founder commentary identify heavy SEO dependence, Google's Panda update, trust issues, and marketplace disintermediation as major causes.",platform_risk,"distribution_failure; marketplace_liquidity_failure; bad_pricing","Google algorithm exposure; one-channel acquisition; trust gap; off-platform leakage; funding pressure","Tutorspree's acquisition engine depended heavily on SEO, and a Google algorithm change reportedly cut traffic sharply while the tutoring marketplace also struggled with trust and repeat transaction leakage.",medium,"Good marketplace case, but use medium confidence because the founder postmortem URL is not the main stored source yet."
fs_0012,NewsTilt,"A YC-backed platform intended to help journalists build direct online businesses around their work.",unknown,https://blog.paulbiggar.com/why-we-shut-newstilt-down/,https://www.sunsethq.com/blog/why-did-newstilt-fail,yes,founder_postmortem,primary,2009,2010,Ireland,Europe,media,B2B,advertising,free,content,seed,20000,2,"Co-founder Paul Biggar wrote that NewsTilt failed because of internal company problems and product problems, including overpromising, underdelivering, and launching without core value proposition pieces.",founder_conflict,"product_market_fit_failure; technical_complexity; no_urgent_pain","founder communication breakdown; incomplete MVP; overpromised features; weak user value; short runway","The founder postmortem describes a product launched without key journalist-branding features and a company unable to recover because of internal communication and execution problems.",high,"Strong primary postmortem; useful for founder/team failure category."
fs_0013,Zen99,"A YC-backed tax and insurance tool suite for independent contractors and gig workers.",unknown,https://tristanzier.medium.com/why-zen99-shut-down-a368371eb9dd,https://fortune.com/2015/08/12/zen99-contract-workers/,yes,founder_postmortem,primary,2014,2015,United States,North America,fintech,B2C,subscription,freemium,partnerships,seed,2620000,unknown,"Founder Tristan Zier explained that contractors were not a homogeneous market, many did not self-identify as contractors, and needs differed sharply across segments.",too_broad_icp,"no_urgent_pain; distribution_failure; product_market_fit_failure","fragmented contractor personas; hard targeting; weak universal use case; controlled shutdown","The founder postmortem frames Zen99's failure around the mistaken assumption that independent contractors formed one coherent customer segment with similar needs and reachable channels.",high,"Strong primary source; good ICP segmentation failure case."
fs_0014,Plancast,"A social event-sharing service for broadcasting and discovering personal plans.",unknown,https://techcrunch.com/2012/01/22/post-mortem-for-plancast/,,yes,founder_postmortem,primary,2009,2012,United States,North America,social,B2C,advertising,free,viral,seed,1700000,unknown,"Founder Mark Hendrickson wrote that Plancast stalled after early traction because events were a difficult content type, mainstream users did not adopt the behavior, and engagement did not scale.",weak_retention,"no_urgent_pain; product_market_fit_failure; distribution_failure","early adopter ceiling; low mainstream behavior change; weak engagement; unclear monetization","The founder postmortem says Plancast could not grow beyond an early adopter community and could not make social event sharing compelling enough for broad repeated usage.",high,"Excellent behavior-change consumer social case."
fs_0015,Flud,"A social newsreader app for iOS, Android, and Windows Phone.",unknown,https://techcrunch.com/2013/09/22/why-startups-fail-a-postmortem-for-flud-and-what-to-take-from-sonars-demise/,,yes,founder_interview,secondary,2010,2013,United States,North America,consumer_app,B2C,advertising,free,app_store,seed,2100000,unknown,"Founder Bobby Ghoshal told TechCrunch that Flud never found durable product-market fit or monetization, pivoted toward enterprise too late, and ran out of time before investors saw enough validation.",product_market_fit_failure,"fundraising_dependency; competition_pressure; sales_cycle_too_long","consumer newsreader saturation; enterprise pivot too late; insufficient validation; ran out of runway","The TechCrunch postmortem reports that Flud had press and downloads but failed to turn consumer interest or an enterprise pivot into a validated business before capital ran out.",medium,"Good founder-interview case; secondary because not written directly by founder."
fs_0016,DrawQuest,"A mobile drawing game and creative community from Canvas Networks.",unknown,https://techcrunch.com/2014/01/21/when-goods-not-good-enough/,https://smallbiztrends.com/drawquest-shuts-down/,yes,founder_interview,secondary,2013,2014,United States,North America,consumer_app,B2C,freemium,freemium,app_store,seed,3625000,unknown,"Founder Chris Poole said DrawQuest had traction but did not become a venture-backed opportunity because the team could not make the mobile monetization model work.",bad_pricing,"fundraising_dependency; business_model_mismatch; product_market_fit_failure","downloads without enough revenue; weak in-app purchase monetization; runway pressure; pivot after Canvas","TechCrunch reports that DrawQuest had users and engagement but could not monetize well enough through in-app purchases to justify more venture funding.",medium,"Useful monetization case; not pure shutdown postmortem but based on founder interview and official closure context."
fs_0017,Newsberry,"An email marketing product built by Wildbit before Postmark and Beanstalk became the team's focus.",unknown,https://www.wildbit.com/blog/why-we-shut-down-a-product-that-was-75000year-profitable.html,,yes,founder_postmortem,primary,2005,2012,United States,North America,SaaS,B2B,subscription,paid_subscription,content,bootstrapped,unknown,unknown,"Wildbit wrote that Newsberry was profitable but stagnant, under-loved by the team, weakly marketed, and unable to justify continued full-time investment against better products.",distribution_failure,"competition_pressure; business_model_mismatch; market_too_small","stagnant growth; weak marketing; stronger competing products; internal focus shifted; profitable but low ceiling","The company postmortem says Newsberry made money but did not grow enough or fit the team's strengths and priorities, especially as Beanstalk and Postmark showed stronger momentum.",high,"Strong primary source; include as profitable-but-not-scalable failure."
fs_0018,Spreadable,"A referral and word-of-mouth marketing product built by Grasshopper Group.",unknown,https://grasshopper.com/resources/case-studies/spreadable/,,yes,founder_postmortem,primary,2011,2012,United States,North America,SaaS,B2B,subscription,paid_subscription,sales_led,bootstrapped,unknown,unknown,"Grasshopper said Spreadable was making money and acquiring customers but required a sales/support motion that did not align with the company's scalable product strengths.",business_model_mismatch,"distribution_failure; operational_complexity; no_urgent_pain","sales motion misfit; support burden; misaligned with core strengths; profitable but discontinued","The case study says Spreadable was shut down despite revenue because its effective sales model and operating requirements did not fit Grasshopper's company model or strategic focus.",high,"Strong primary case for business-model/team-strength mismatch."
fs_0019,DataDistillr,"An enterprise data analytics platform for querying and exploring data across multiple sources without ETL.",unknown,https://thedataist.com/all-great-things/,https://thedataist.com/all-great-things-part-2-the-founders-dilemma/,yes,founder_postmortem,primary,2018,2023,United States,North America,devtool,B2B,subscription,enterprise,sales_led,seed,5000000,unknown,"Founder Charles Givre wrote that DataDistillr failed to reach product-market fit because of market changes, unclear monetization, building the wrong product, too many features, and weak selling.",product_market_fit_failure,"bad_pricing; too_broad_icp; distribution_failure","unclear monetization; too many features; weak sales; insufficient customer learning; market change","The founder postmortem directly states the company failed to achieve product-market fit and identifies monetization, focus, sales, and build-measure-learn failures as contributors.",high,"Strong modern devtool/data case."
fs_0020,Tess.Design,"An AI image marketplace that paid artists royalties for image generation in their style.",https://tess.design,https://www.kapwing.com/blog/learnings-from-paying-artists-royalties-for-ai-generated-art/,https://www.linkedin.com/posts/juliaenthoven_we-built-a-marketplace-that-paid-artists-activity-7437259265758838784-asWg,yes,founder_postmortem,primary,2024,2026,United States,North America,AI,B2B2C,marketplace_take_rate,commission,partnerships,bootstrapped,unknown,unknown,"Kapwing CEO Julia Enthoven wrote that Tess generated little revenue, could not overcome unresolved AI copyright risk, lacked artist-driven promotion, and could not justify continued focus.",regulatory_or_legal_pressure,"marketplace_liquidity_failure; timing_problem; distribution_failure","legal uncertainty; weak artist supply response; low revenue; enterprise buyer blocked by legal team; split focus","The official retrospective says Tess shut down after legal ambiguity around AI copyright blocked enterprise interest and the marketplace failed to generate enough demand or artist-led distribution.",high,"Excellent current AI/legal marketplace case."
fs_0021,Everpix,"A cloud photo storage and discovery startup that automatically organized users' photos.",unknown,https://venturebeat.com/2013/11/05/goodbye-everpix-photo-storage-startup-shuts-down/,https://www.theverge.com/2013/11/5/5039216/everpix-life-and-death-inside-the-worlds-best-photo-startup,yes,news_article,secondary,2011,2013,United States,North America,consumer_app,B2C,subscription,paid_subscription,app_store,seed,1800000,unknown,"Everpix shut down after failing to secure funding or acquisition while user and subscriber growth could not cover infrastructure and payroll costs.",distribution_failure,"fundraising_dependency; competition_pressure; bad_pricing","loved product but slow growth; insufficient paid subscribers; high storage costs; failed acquisition talks","Reporting on the shutdown says Everpix had strong product reviews and retention but not enough paying subscribers or investment to cover bills and scale the business.",medium,"High-signal product-loved-business-failed case; secondary source but very detailed."
fs_0022,Wesabe,"A personal finance management website that helped users track spending and get money advice.",unknown,https://techcrunch.com/2010/10/01/wesabe-mint/,https://avc.com/2010/10/the-postmortem/,yes,founder_postmortem,primary,2005,2010,United States,North America,fintech,B2C,freemium,freemium,SEO,series_a,4700000,unknown,"Founder Marc Hedlund wrote that Wesabe lost to Mint because Mint gave users a much easier and faster experience, while Wesabe required too much manual work and had worse aggregation.",competition_pressure,"technical_complexity; product_market_fit_failure; weak_retention","inferior user experience; manual user effort; better-funded competitor; slower time to value","Marc Hedlund's postmortem, summarized by TechCrunch and AVC, says Wesabe was beaten by Mint because Mint solved the same job with less user effort and faster perceived value.",high,"Primary source is founder postmortem but current stored main URL is TechCrunch summary; source should be upgraded if original archive is located."
fs_0023,Patient Communicator,"A digital health patient engagement and CRM product for medical practices.",unknown,https://hitconsultant.net/2014/10/06/why-my-digital-health-startup-failed/,,yes,founder_postmortem,primary,2012,2014,United States,North America,healthtech,B2B,subscription,paid_subscription,sales_led,seed,unknown,unknown,"Founder Jeff Novich wrote that Patient Communicator relied on doctors seeing financial value in patient engagement, but the market did not adopt quickly enough and fundraising was difficult.",no_urgent_pain,"sales_cycle_too_long; fundraising_dependency; distribution_failure","doctor adoption friction; weak perceived urgency; healthcare sales difficulty; failed fundraising","The founder postmortem explains that the product depended on physicians valuing patient engagement as a revenue and outcome lever, but buyer behavior and funding did not support scaling.",high,"Strong digital health case with primary source."
fs_0024,Standout Jobs,"A recruitment and employer branding SaaS product for company career sites.",unknown,https://medium.com/10-thousand-ways-to-fail/a-postmortem-analysis-of-standout-jobs-c2185cb25e38,https://www.focusedchaos.co/p/revisiting-the-standout-jobs-postmortem-1be,yes,founder_postmortem,primary,2007,2010,Canada,North America,SaaS,B2B,subscription,paid_subscription,sales_led,seed,1800000,unknown,"Founder Ben Yoskovitz wrote that Standout Jobs raised too much too early, launched into a collapsing hiring market, asked for too much behavior change, and did not react fast enough.",timing_problem,"no_urgent_pain; fundraising_dependency; product_market_fit_failure","recession timing; hiring freeze; behavior change; premature funding; slow strategic reaction","The postmortem says the paid product launched just before the 2008 hiring collapse, while the team lacked enough validation and asked customers to change recruiting behavior without enough urgency.",high,"Strong primary founder postmortem; useful timing plus premature funding case."
fs_0025,Monitor110,"A Wall Street internet monitoring and alternative data product for financial professionals.",unknown,https://www.failory.com/cemetery/monitor110,https://informationarbitrage.com/post/698402433/monitor110-a-post-mortem,yes,founder_postmortem,primary,2005,2008,United States,North America,SaaS,B2B,enterprise_contract,enterprise,sales_led,series_a,17000000,unknown,"Founder/investor postmortems cite unclear leadership, building too long before release, technical noise in the product, and delayed pivoting after too much capital and publicity.",technical_complexity,"founder_conflict; fundraising_dependency; timing_problem","delayed launch; data quality issues; unclear leadership; too much funding before validation; late pivot","The postmortem pattern says Monitor110 overbuilt before customer feedback, struggled with noisy data and leadership alignment, and ran out of time after delaying market validation.",medium,"Useful but slightly larger funding than ideal; keep as core because it is pre-Series B style and evidence is strong."
fs_0026,MyFavorites,"A consumer app for saving and sharing favorite things.",unknown,https://medium.com/10-thousand-ways-to-fail/the-little-startup-that-couldn-t-a-postmortem-of-myfavorites-a5250f186535,,yes,founder_postmortem,primary,2014,2016,United States,North America,consumer_app,B2C,freemium,free,viral,bootstrapped,unknown,unknown,"Founder Steve Poland wrote that MyFavorites tried to solve a problem people did not strongly feel they had, and the team lost conviction after launch and feedback cycles.",no_urgent_pain,"product_market_fit_failure; weak_retention; founder_conflict","weak problem intensity; unclear user behavior; loss of team interest; consumer app ambiguity","The founder postmortem says the problem was not one users strongly recognized, making the product difficult to position, motivate, and sustain.",high,"Good small consumer case for weak pain."
fs_0027,Workapp,"A small platform product that drifted toward consultancy-style work.",unknown,https://www.indiehackers.com/product/workapp/closing-down-shop--LkI_Gq3wM39LrX96lfs,,yes,founder_postmortem,primary,unknown,2019,unknown,unknown,SaaS,B2B,services,custom,founder_led_sales,bootstrapped,unknown,unknown,"The founder wrote that the team realized they did not want to build a consultancy-type business and that the original platform product was undifferentiated.",business_model_mismatch,"competition_pressure; product_market_fit_failure; no_urgent_pain","consultancy drift; undifferentiated platform; crowded internet market; founder loss of conviction","The Indie Hackers shutdown post directly says the product was becoming consultancy-like while the platform itself was not sufficiently differentiated.",high,"Small but valuable bootstrapped case; founder source."
fs_0028,Video Scheduler,"A small scheduling product for video workflows.",unknown,https://www.indiehackers.com/product/video-scheduler/shut-down--NHpSxABtZ9GI740qpjF,,yes,founder_postmortem,primary,unknown,2022,unknown,unknown,productivity,B2B,subscription,unknown,unknown,bootstrapped,0,unknown,"The founder shut down Video Scheduler because it did not appear to be on a path to becoming a viable product.",product_market_fit_failure,"no_urgent_pain; distribution_failure","no clear viability path; small product; uncertain demand","The founder's shutdown note states the product did not seem to be on a path toward viability, which supports a conservative product-market fit classification.",medium,"Direct source but short evidence; keep medium confidence."
fs_0029,PageLines Platform 5,"A WordPress website-building product that struggled after market and ecosystem shifts.",unknown,https://www.pagelines.com/pagelines-platform-5-is-dead/,,yes,official_shutdown_announcement,primary,2015,2019,United States,North America,SaaS,B2B,subscription,paid_subscription,community,bootstrapped,unknown,unknown,"The company announced Platform 5 was dead after changing WordPress market dynamics and the product's own direction made continued development unsustainable.",platform_risk,"competition_pressure; timing_problem; product_market_fit_failure","WordPress ecosystem change; product direction issues; market shift; discontinued development","The official shutdown announcement frames the product's death around ecosystem and market shifts in WordPress plus an inability to keep the product direction viable.",medium,"Good platform/ecosystem case; verify exact dates later."
fs_0030,Zeda.io,"A product management platform for feedback, roadmaps, and AI-assisted product workflows.",https://zeda.io,https://podcasts.apple.com/ca/podcast/why-we-shut-down-a-%243-7m-startup-prashant-mahajan/id1799895082?i=1000699137696,,yes,podcast_transcript,primary,2020,2025,India,Asia,SaaS,B2B,subscription,enterprise,sales_led,seed,3700000,unknown,"Founder Prashant Mahajan discussed shutting down Zeda after struggling with product-management-tool adoption, enterprise SaaS sales, fundraising, and finding durable product-market fit.",product_market_fit_failure,"sales_cycle_too_long; no_urgent_pain; fundraising_dependency","hard product management adoption; enterprise sales friction; insufficient PMF; cautious shutdown","The founder interview describes why money did not solve adoption and PMF issues in a crowded product-management software category, leading to shutdown despite remaining capital discipline.",medium,"Good recent founder-interview case, but podcast source should be supplemented with transcript or written source later."
fs_0031,RethinkDB,"An open-source distributed document database company built around real-time application development.",https://rethinkdb.com,https://rethinkdb.com/blog/rethinkdb-shutdown/,https://gist.github.com/ramalho/93b87e961b6e019be8e1f6f82864b6f9; https://www.techrepublic.com/article/rethinkdb-is-dead-and-mongodb-isnt-what-killed-it/,yes,founder_postmortem,primary,2009,2016,United States,North America,devtool,developer,open_source_commercial,freemium,community,series_a,12200000,unknown,"Founder Slava Akhmechet wrote that RethinkDB failed to build a sustainable business because it optimized for qualities developers admired but not the market priorities that drove adoption and monetization.",business_model_mismatch,"bad_pricing; competition_pressure; product_market_fit_failure","developer love without sustainable monetization; open-source commercialization difficulty; wrong product priorities; strong competitor category dynamics","The shutdown announcement and later founder postmortem show a technically respected product that could not turn open-source developer adoption into a durable commercial company.",high,"Strong devtool/open-source commercialization case."
fs_0032,Homejoy,"An on-demand home cleaning marketplace connecting customers with cleaners.",unknown,https://techcrunch.com/2015/07/17/homejoy-is-shutting-down-at-the-end-of-the-month/,https://www.forbes.com/sites/jerryjao/2015/08/11/deja-vu-how-homejoy-like-fab-com-neglected-customer-retention-and-paid-the-price/; https://techcrunch.com/2015/07/31/why-homejoy-failed-and-the-future-of-the-on-demand-economy/,yes,news_article,secondary,2010,2015,United States,North America,marketplace,B2C,marketplace_take_rate,commission,paid_ads,series_a,40000000,unknown,"Reporting on Homejoy emphasizes weak retention, high customer acquisition costs, discount-driven growth, worker classification lawsuits, and the difficulty of making high-touch home services work as an on-demand marketplace.",high_cac_bad_unit_economics,"weak_retention; regulatory_or_legal_pressure; operational_complexity","discount-led acquisition; poor repeat usage; contractor classification lawsuits; high-touch service quality problem","Homejoy shut down after failing to raise more capital, with later analysis pointing to expensive acquisition, weak retention, and legal risk around contractor labor as core business problems.",medium,"Useful on-demand marketplace case, but funding is higher than ideal; keep because failure mechanics are high-value."
fs_0033,Shyp,"An on-demand shipping service that picked up, packed, and shipped items for consumers and small businesses.",unknown,https://www.forbes.com/sites/maryjuetten/2019/01/24/failed-startups-shyp/,https://www.techspot.com/news/73905-demand-shipping-start-up-shyp-closes-doors-lays.html,yes,founder_postmortem,secondary,2013,2018,United States,North America,marketplace,B2B2C,services,custom,app_store,series_a,62000000,unknown,"Founder Kevin Gibbon later acknowledged that Shyp pursued growth at all costs, targeted low-frequency consumers, and built an expensive operations-heavy model before finding a sustainable business.",operational_complexity,"high_cac_bad_unit_economics; no_urgent_pain; business_model_mismatch","low-frequency consumer usage; warehouses and couriers; flat-fee pricing pressure; growth-before-sustainability; late B2B pivot","Secondary reporting based on Gibbon's postmortem describes an on-demand service whose delightful user experience masked expensive logistics and poor repeat economics.",medium,"Funding is high, but the founder-postmortem signal is strong for on-demand operations failure."
fs_0034,Sprig,"An on-demand food startup that cooked and delivered its own prepared meals.",unknown,https://techcrunch.com/2017/05/26/on-demand-food-startup-sprig-is-shutting-down-today/,https://www.axios.com/2017/12/15/silicon-valley-food-delivery-startup-sprig-shuts-down-1513302600,yes,official_shutdown_announcement,secondary,2013,2017,United States,North America,consumer_app,B2C,transaction_fee,custom,app_store,series_a,57000000,unknown,"Sprig's shutdown message said demand was high, but owning meal production through delivery at scale created operational complexity that the company could not overcome.",operational_complexity,"high_cac_bad_unit_economics; competition_pressure; fundraising_dependency","thin margins; food production plus delivery; city operations; labor intensity; on-demand market pressure","Coverage of Sprig's closure cites the CEO's message that demand existed but the complexity of owning the full meal-production and delivery stack was too hard to scale profitably.",medium,"Good operational-complexity case; higher funding than ideal but strong source and category fit."
fs_0035,SpoonRocket,"An on-demand prepared-meal delivery service that promised fast delivery of low-cost meals.",unknown,https://techcrunch.com/2016/03/15/spoonrocket-shuts-down/,https://venturebeat.com/ai/no-spoonrocket-is-not-shutting-down,yes,news_article,secondary,2013,2016,United States,North America,consumer_app,B2C,transaction_fee,custom,app_store,series_a,13500000,unknown,"SpoonRocket shut down after failing to raise necessary capital in a category where fast prepared-meal delivery required difficult operational economics.",high_cac_bad_unit_economics,"operational_complexity; fundraising_dependency; competition_pressure","prepared food inventory; fast delivery promise; funding dependency; tough on-demand economics","TechCrunch reported that SpoonRocket closed after it could not raise more capital, using the case as an example of the difficult economics behind app-based convenience services.",medium,"Useful on-demand food case; evidence is secondary but clear."
fs_0036,Take Eat Easy,"A European restaurant delivery marketplace operating bike-courier food delivery across multiple cities.",unknown,https://techcrunch.com/2016/07/26/european-restaurant-delivery-startup-take-eat-easy-ceases-trading-as-it-tries-to-find-a-buyer/,https://www.startup-palace.com/blog/masterclass-10-take-eat-easy-les-raisons-d-un-echec/,yes,founder_interview,secondary,2013,2016,Belgium,Europe,marketplace,B2C,commission,commission,app_store,pre_series_b,16000000,unknown,"Take Eat Easy ceased trading after failing to raise a Series C despite order growth, while competing against much better-funded delivery rivals in a capital-intensive category.",fundraising_dependency,"competition_pressure; high_cac_bad_unit_economics; operational_complexity","failed Series C; 114 investor rejections; better-funded rivals; courier operations; delivery market consolidation","Founder comments reported by TechCrunch and later European startup retrospectives show a business with traction but insufficient capital to survive a subsidy-heavy food delivery war.",medium,"Good non-US marketplace case; classified fundraising primary because the source emphasizes capital cutoff."
